mcsa_id,pdb_chain_id,uniprot_id,assembly_type,ec,gene3d,resolution,cath_class,cath_architecture,ec_class,ec12,ec123,nprot,nresidues,seqid_mean,rmsd_mean_0,dactive_mean,dactive_sd,dactive_range,lrmsf_mean,lrmsf_sd,lrmsf_cv,lrmsf_range,lrmsd_mean,lrmsd_sd,rmsd_mean,rmsd_sd,nresidues_asite,lrmsf_asite,lrmsd_asite
2,1btl_A,P62593,monomer,3.5.2.6,3.40.710.10,1.8,alpha/beta,3-Layer(aba) Sandwich,Hydrolases,3.5,3.5.2,6,263,0.43093333333333333,1.7766666666666666,13.945237160103993,5.696387045596848,27.731637149652737,-1.0652004568339721,0.23726297275284006,-0.22274020934805244,1.2187422605643203,1.4852620422971998,0.8455037464335997,5.892039435568378,4.1156342770096295,6,-1.2716937307497802,1.1695234920451978
15,1znb_A,P25910,monomer,3.5.2.6,3.60.15.10,1.85,alpha/beta,4-Layer Sandwich,Hydrolases,3.5,3.5.2,6,225,0.3476666666666667,1.837,13.013811071182795,6.2378501013717385,28.49423990816621,-1.1043634514341776,0.28787685084703807,-0.26067220032787924,1.986551243791773,0.04530507358888752,0.7494145115759789,1.4504684272300181,1.467571295438062,8,-1.2470304326902109,-0.9752527526168806
71,1eug_A,P12295,monomer,3.2.2.27,3.40.470.10,1.6,alpha/beta,3-Layer(aba) Sandwich,Hydrolases,3.2,3.2.2,8,223,0.43275,1.4916785714285714,14.226299940296403,6.533864210767201,32.381057240306404,-1.0075552513533212,0.3373978746341479,-0.33486786375334165,2.3117146302213674,-0.010290134756157136,0.6813180104661921,1.3053445001839576,1.2963963902543232,4,-1.232574059225442,-0.55011198963771335
98,1bsz_C,P0A6K3,monomer,3.5.1.88,3.90.45.10,1.9,alpha/beta,Alpha-Beta Complex,Hydrolases,3.5,3.5.1,10,168,0.3652444444444444,1.4438,11.150771811659846,4.989055786022515,22.872934835739816,-0.9641620530831024,0.31960421700883546,-0.3314839201427152,2.0640772065520405,0.25653428679479773,1.002347904860516,2.380006594349081,3.428258087976152,7,-1.2899514103234286,-0.7482994003869252
109,1d3g_A,Q02127,monomer,1.3.5.2,3.20.20.70,1.6,alpha/beta,Alpha-Beta Barrel,Oxidoreductases,1.3,1.3.5,4,359,0.4425,2.654166666666667,15.648380806443202,6.940267182489092,34.02244375185015,-1.127382829270979,0.2636687551257247,-0.23387685911113779,1.392069975156423,0.051693417594225716,0.8079625414097417,1.591625254511145,1.930761037186585,7,-1.3230617122609494,0.2144265655252748
148,1onr_A,P0A870,monomer,2.2.1.2,3.20.20.70,1.87,alpha/beta,Alpha-Beta Barrel,Transferases,2.2,2.2.1,5,316,0.5256,2.0889,14.015306296070552,5.727431612681421,29.596369405722722,-1.0727298290536533,0.271471272023705,-0.25306583696212964,1.5018223643381783,-0.15439633243027112,0.7627740321496814,1.1843623748018839,1.215139014819776,5,-1.3981379223303778,-0.5094886868666267
151,1q0n_A,P26281,monomer,2.7.6.3,3.30.70.560,1.25,alpha/beta,2-Layer Sandwich,Transferases,2.7,2.7.6,4,158,0.4721666666666667,2.0735,12.894847240071558,5.005219688537653,23.450318095116657,-1.043822120678831,0.2530873191618834,-0.24246211509418156,1.2671573084274708,-0.015955721761933682,0.781269226718529,1.3972256898128934,1.388932702465897,4,-1.2132972418056331,0.01274488512603561
160,1ako_A,P09030,monomer,3.1.11.2,3.60.10.10,1.7,alpha/beta,4-Layer Sandwich,Hydrolases,3.1,3.1.11,10,256,0.33882222222222225,2.626488888888889,13.561425479941587,5.718732366944581,26.251161193364382,-1.0806290854296765,0.2612299206885148,-0.24173874663446185,2.1559437515553856,0.31071909369015227,0.7583295373320599,1.8163520387067866,1.5258300261119793,7,-1.3207765026092024,-0.9429895638117464
164,1ruv_A,P61823,monomer,4.6.1.18,3.10.130.10,1.25,alpha/beta,Roll,Lyases,4.6,4.6.1,5,123,0.4847,1.9183,10.225336973538067,4.144166044665951,19.667763395973623,-0.9759029353374433,0.2765413050238116,-0.28336968258855616,1.4750426972051907,-0.031052635819614274,0.8722691052432346,1.452029121144208,1.4318538439917645,5,-1.1242746026445896,-0.5783268297198091
174,9pap_A,P00784,monomer,3.4.22.2,3.90.70.10,1.65,alpha/beta,Alpha-Beta Complex,Hydrolases,3.4,3.4.22,12,212,0.4339545454545454,1.5662575757575758,14.274139692828461,6.025776075142212,28.149906678353304,-1.118763191709273,0.24687264863590602,-0.22066568731022346,1.5429662654557568,1.394031943718372,0.824971344268325,5.647363742038116,5.596992703595247,4,-1.3018396398678043,1.0587678001628578
